Home > Look Up Classes																	
Go to Main Content																	
																	
University of South Carolina (BILD)																	
																	
Skip Module Navigation Links																	
																	
Personal Information		Student		Account Information		Faculty Services											
																	
Search Search  	RETURN TO MENU | SITE MAP | HELP | EXIT																
Look Up Classes		N58254250 Manton M. Matthews															
		Spring 2017															
		2/14/17 15:46															
																	
																	
	Select the box in front of the CRN (C identifies a closed class) and choose Register or Add to Worksheet.																
																	
	Important Deadlines You Need to Know																
																	
Sections Found																	
CSCE - Comp Sci & Comp Engr																	
Select	CRN	Subj	Crse	Sec	Cmp	Cred	Part of Term	Title	Days	Time	Cap	Act	Rem	Instructor	Date (MM/DD)	Location	Attribute
NR	40650	CSCE	102	1	COL	3	30 - Columbia Full Term	General Applications Programming	MW	08:30 am-09:20 am	24	22	2	Xian Wu (P)	01/09-04/24	SMWALT 305	ARP Analytical Reasoning
									F	08:30 am-09:20 am				Vaishnavi Sunku	01/09-04/24	SMWALT 361	ARP Analytical Reasoning
NR	40652	CSCE	102	2	COL	3	30 - Columbia Full Term	General Applications Programming	MW	08:30 am-09:20 am	24	13	11	Xian Wu (P)	01/09-04/24	SMWALT 305	ARP Analytical Reasoning
									R	10:05 am-10:55 am				Allen Jeevan Kanapala	01/09-04/24	SMWALT 361	ARP Analytical Reasoning
NR	40653	CSCE	102	3	COL	3	30 - Columbia Full Term	General Applications Programming	MW	08:30 am-09:20 am	24	14	10	Xian Wu (P)	01/09-04/24	SMWALT 305	ARP Analytical Reasoning
									R	08:30 am-09:20 am				Jing Wang	01/09-04/24	SMWALT 361	ARP Analytical Reasoning
NR	40654	CSCE	102	4	COL	3	30 - Columbia Full Term	General Applications Programming	MW	10:50 am-11:40 am	24	23	1	Catherine T Matthews (P)	01/09-04/24	SMWALT 305	ARP Analytical Reasoning
									F	09:40 am-10:30 am				Alireza Salahirad	01/09-04/24	SMWALT 361	ARP Analytical Reasoning
C	40655	CSCE	102	5	COL	3	30 - Columbia Full Term	General Applications Programming	MW	10:50 am-11:40 am	24	25	-1	Catherine T Matthews (P)	01/09-04/24	SMWALT 305	ARP Analytical Reasoning
									F	10:50 am-11:40 am				Md Modasshir	01/09-04/24	SMWALT 361	ARP Analytical Reasoning
NR	40656	CSCE	102	6	COL	3	30 - Columbia Full Term	General Applications Programming	MW	10:50 am-11:40 am	24	23	1	Catherine T Matthews (P)	01/09-04/24	SMWALT 305	ARP Analytical Reasoning
									R	11:40 am-12:30 pm				Alireza Nasiri	01/09-04/24	SMWALT 361	ARP Analytical Reasoning
NR	40660	CSCE	102	7	COL	3	30 - Columbia Full Term	General Applications Programming	MW	01:10 pm-02:00 pm	24	23	1	Catherine T Matthews (P)	01/09-04/24	SMWALT 305	ARP Analytical Reasoning
									F	12:00 pm-12:50 pm				Md Modasshir	01/09-04/24	SMWALT 361	ARP Analytical Reasoning
NR	40661	CSCE	102	8	COL	3	30 - Columbia Full Term	General Applications Programming	MW	01:10 pm-02:00 pm	24	22	2	Catherine T Matthews (P)	01/09-04/24	SMWALT 305	ARP Analytical Reasoning
									F	01:10 pm-02:00 pm				Alireza Nasiri	01/09-04/24	SMWALT 361	ARP Analytical Reasoning
NR	40662	CSCE	102	9	COL	3	30 - Columbia Full Term	General Applications Programming	MW	01:10 pm-02:00 pm	24	23	1	Catherine T Matthews (P)	01/09-04/24	SMWALT 305	ARP Analytical Reasoning
									R	01:15 pm-02:05 pm				Alireza Nasiri	01/09-04/24	SMWALT 361	ARP Analytical Reasoning
